name,rating,rating_count,price_usd,core_count,core_clock,boost_clock,tdp,integrated_graphics,smt,series,1080p_rel_perf,1440p_rel_perf,single_thread_rel_perf,multi_thread_rel_perf,manufacturer
Intel Core i9-9900K (Standard Folding Box),5,6,337.99,8,3.6 GHz,5 GHz,95,Intel UHD Graphics 630,TRUE,9th Gen,79.38,87.24,82.99,51.85,Intel
Intel Core i7-11700,5,1,397.21,8,2.5 GHz,4.9 GHz,65,Intel UHD Graphics 750,TRUE,11th Gen,88.66,89.86,89.97,60.75,Intel
AMD Ryzen 5 3600XT,4,32,299.79,6,3.8 GHz,4.5 GHz,95,,TRUE,Ryzen 3000,76.36,79.94,79.45,41.58,AMD
AMD Ryzen 7 3800XT,4,19,415.99,8,3.9 GHz,4.7 GHz,105,,TRUE,Ryzen 3000,77.62,81.51,80.09,53.17,AMD
Intel Core i5-11500,4,2,276.31,6,2.7 GHz,4.6 GHz,65,Intel UHD Graphics 750,TRUE,11th Gen,87.8,90.6,84.01,46.19,Intel
Intel Core i5-9600KF,4,10,195.9,6,3.7 GHz,4.6 GHz,95,,FALSE,9th Gen,72.51,77.23,75.74,30.98,Intel
Intel Core i7-9700F,5,3,261,8,3 GHz,4.7 GHz,65,,FALSE,9th Gen,75.63,79.23,76.67,40.44,Intel
Intel Core i9-10900F,4,2,358.99,10,2.8 GHz,5.2 GHz,65,,TRUE,10th Gen,87.33,89.38,82.9,59.91,Intel
AMD Ryzen 7 2700,4,73,273.19,8,3.2 GHz,4.1 GHz,65,,TRUE,Ryzen 2000,60.8,65,66.34,38.28,AMD
Intel Core i9-10900,5,2,379.99,10,2.8 GHz,5.2 GHz,65,Intel UHD Graphics 630,TRUE,10th Gen,87.33,89.38,82.9,59.91,Intel
Intel Core i7-11700KF,0,0,479.99,8,3.6 GHz,5 GHz,125,,TRUE,11th Gen,93.32,94.59,94.7,63.94,Intel
Intel Core i5-11600KF,0,0,369,6,3.9 GHz,4.9 GHz,125,,TRUE,11th Gen,90.9,92.98,92.96,50,Intel
Intel Core i9-9900KF,4,14,348,8,3.6 GHz,5 GHz,95,,TRUE,9th Gen,79.38,87.24,82.99,51.85,Intel
AMD Ryzen 5 2400G,4,80,483.08,4,3.6 GHz,3.9 GHz,65,Radeon Vega 11,TRUE,Ryzen 2000,48.49,52.1,61.05,19.71,AMD
Intel Core i7-9700,5,1,291.7,8,3 GHz,4.7 GHz,65,Intel HD Graphics 630,FALSE,9th Gen,75.63,79.23,76.67,40.44,Intel
Intel Core i7-9700KF,5,6,293.01,8,3.6 GHz,4.9 GHz,95,,FALSE,9th Gen,79.61,83.41,80.71,42.57,Intel
AMD Ryzen 7 1700,4,172,385,8,3 GHz,3.7 GHz,65,,TRUE,Ryzen 1000,55.1,57.54,59.71,34.45,AMD
Intel Core i5-9400,4,12,234.1,6,2.9 GHz,4.1 GHz,65,Intel UHD Graphics 630,FALSE,9th Gen,70.12,74.11,67.96,28.07,Intel
AMD Ryzen 7 1700X,4,91,453.46,8,3.4 GHz,3.8 GHz,95,,TRUE,Ryzen 1000,57.57,60.56,62.85,36.26,AMD
