name,rating,rating_count,price_usd,type,color,power_supply,side_panel_window,"external_5.25""_bays","internal_3.5""_bays",cpu_cooler_clearance,gpu_clearance,140rad_support,120rad_support,mobo_support,psu_support
Phanteks Eclipse P300,4,64,49.99,ATX Mid Tower,Black,,Tinted Tempered Glass,0,2,165,355,"['140 mm', '280 mm']","['120 mm', '240 mm']","['Mini ITX', 'Micro ATX', 'ATX']","['SFX', 'ATX']"
Fractal Design Focus G,4,58,57.98,ATX Mid Tower,Black,,Acrylic,2,2,165,380,"['140 mm', '280 mm']","['120 mm', '240 mm']","['Mini ITX', 'Micro ATX', 'ATX']","['SFX', 'ATX']"
Lian Li LANCOOL II-X,4,41,99.99,ATX Mid Tower,Black,,Tempered Glass,0,3,176,384,"['140 mm', '280 mm']","['120 mm', '240 mm', '360 mm']","['Mini ITX', 'Micro ATX', 'ATX', 'EATX']","['SFX', 'ATX']"
Fractal Design Meshify C,4,92,97.89,ATX Mid Tower,Black,,Tempered Glass,0,2,170,315,"['140 mm', '280 mm']","['120 mm', '240 mm', '360 mm']","['Mini ITX', 'Micro ATX', 'ATX']","['SFX', 'ATX']"
Fractal Design Focus G,4,37,59.98,ATX Mid Tower,White,,Acrylic,2,2,165,380,"['140 mm', '280 mm']","['120 mm', '240 mm']","['Mini ITX', 'Micro ATX', 'ATX']","['SFX', 'ATX']"
NZXT H710i,4,6,169.99,ATX Mid Tower,Black,,Tempered Glass,0,4,185,413,['140 mm'],"['120 mm', '240 mm', '360 mm']","['Mini ITX', 'Micro ATX', 'ATX']","['SFX', 'ATX']"
Fractal Design Define R5,4,51,115.98,ATX Mid Tower,Black,,,2,8,180,310,"['140 mm', '280 mm']","['120 mm', '240 mm', '360 mm']","['Mini ITX', 'Micro ATX', 'ATX']","['SFX', 'ATX']"
Corsair Obsidian 500D RGB SE,4,35,264.99,ATX Mid Tower,Black,,Tinted Tempered Glass,0,2,170,370,"['140 mm', '280 mm']","['120 mm', '240 mm', '360 mm']","['Mini ITX', 'Micro ATX', 'ATX']","['SFX', 'ATX']"
Corsair 4000D,5,3,59.99,ATX Mid Tower,White,,Tempered Glass,0,2,170,360,"['140 mm', '280 mm']","['120 mm', '240 mm', '360 mm']","['Mini ITX', 'Micro ATX', 'ATX']","['SFX', 'ATX']"
NZXT H510i,4,25,99.99,ATX Mid Tower,Black,,Tempered Glass,0,2,165,381,"['140 mm', '280 mm']","['120 mm', '240 mm']","['Mini ITX', 'Micro ATX', 'ATX']","['SFX', 'ATX']"
Phanteks Eclipse P500A,4,7,119.99,ATX Mid Tower,Black,,Tempered Glass,0,2,190,435,"['140 mm', '280 mm', '420 mm']","['120 mm', '240 mm', '360 mm']","['Mini ITX', 'Micro ATX', 'ATX', 'EATX']","['SFX', 'ATX']"
