name,rating,rating_count,price_usd,socket_/_cpu,form_factor,memory_max,memory_slots,color,chipset,memory_type,PCIE_Gen
MSI MEG X570 UNIFY,4,42,350.52,AM4,ATX,128,4,Black,X570,DDR4,4
ASRock B450 Pro4,4,38,86,AM4,ATX,64,4,Black / Silver,B450,DDR4,3
Gigabyte B550 AORUS PRO AC,4,18,198.01,AM4,ATX,128,4,Black / Orange,B550,DDR4,4
Gigabyte B450 AORUS M,4,47,89.99,AM4,Micro ATX,64,4,Black / Gray,B450,DDR4,3
ASRock B450M Steel Legend,4,67,86,AM4,Micro ATX,64,4,Black / White,B450,DDR4,3
Gigabyte B560M DS3H,0,0,93.99,LGA1200,Micro ATX,128,4,Black,B560,DDR4,4
ASRock A320M-HDV R4.0,4,4,63.99,AM4,Micro ATX,32,2,Black / White,A320,DDR4,3
Gigabyte X570 AORUS XTREME,4,10,706.99,AM4,EATX,128,4,Black / Silver,X570,DDR4,4
MSI B450-A PRO MAX,4,30,98.9,AM4,ATX,64,4,Brown / Black,B450,DDR4,3
MSI B450 GAMING PRO CARBON MAX WIFI,4,19,139.99,AM4,ATX,128,4,Black,B450,DDR4,3
ASRock B550M-ITX/ac,4,14,127.99,AM4,Mini ITX,64,2,Silver / Black,B550,DDR4,4
Asus ROG STRIX Z590-A GAMING WIFI,5,1,313.36,LGA1200,ATX,128,4,Silver / Black,Z590,DDR4,4
Asus ROG STRIX B560-A GAMING WIFI,5,1,179.99,LGA1200,ATX,128,4,Black / Silver,B560,DDR4,4
Asus TUF GAMING B450M-PLUS II,4,2,74.99,AM4,Micro ATX,128,4,Black,B450,DDR4,3
MSI B560M PRO-VDH WIFI,4,2,139.99,LGA1200,Micro ATX,128,4,Black,B560,DDR4,4
Asus ROG Crosshair VIII Hero,4,18,379.99,AM4,ATX,128,4,Black,X570,DDR4,4
MSI MPG B550 GAMING CARBON WIFI,4,17,215.99,AM4,ATX,128,4,Black / Silver,B550,DDR4,4
Asus ROG Strix X570-F Gaming,4,11,299.79,AM4,ATX,128,4,Black,X570,DDR4,4
MSI Z590-A PRO,0,0,189.99,LGA1200,ATX,128,4,Black,Z590,DDR4,4
MSI B450 TOMAHAWK MAX II,4,2,99.95,AM4,ATX,128,4,Black / Silver,B450,DDR4,3
Asus PRIME B550M-A (WI-FI),4,7,121,AM4,Micro ATX,128,4,Black / White,B550,DDR4,4
MSI X470 GAMING PLUS MAX,4,11,99.99,AM4,ATX,64,4,Black,X470,DDR4,3
